source,model_kind,modality,model_family,name,partition,scope,scope_type,comparable_scope,groups,variant_type,n,acc,macro_f1,macro_recall,macro_precision,weighted_f1,variant_precision,variant_recall,variant_specificity,variant_balanced_acc,variant_f1,variant_f2,variant_tp,variant_tn,variant_fp,variant_fn,binary_acc,binary_balanced_acc,binary_precision,binary_recall,binary_specificity,binary_f1,binary_f2
checkpoint,hybrid,hybrid,hybrid_groupwise_3c,hybrid_groupwise,test,illumina_view,view,illumina_view,"10,11",ALL,260005,0.9984115690082883,0.9984633376226683,0.9988768798261023,0.9980559638729889,0.9984126925230744,0.9969674117099626,0.9998793077090189,0.9972148951533282,0.9985471014311735,0.998421236576998,0.9992955685146072,124268,135344,378,15,0.9984884906059499,0.9985471014311735,0.9969674117099626,0.9998793077090189,0.9972148951533282,0.998421236576998,0.9992955685146072
checkpoint,hybrid,hybrid,hybrid_groupwise_3c,hybrid_groupwise,test,ont_view,view,ont_view,"1,11",ALL,401059,0.9991497510341372,0.9989188241436909,0.998690289512913,0.9991480828197248,0.9991494240087231,0.9992094024060248,0.9981599237915341,0.9996513775975963,0.9989056506945652,0.9986843873842821,0.998369643112886,122595,278141,97,226,0.9991946322112208,0.9989056506945652,0.9992094024060248,0.9981599237915341,0.9996513775975963,0.9986843873842821,0.998369643112886
checkpoint,hybrid,hybrid,hybrid_groupwise_3c,hybrid_groupwise,test,hybrid_all_SNP,view_variant_type,hybrid_all_SNP,"1,10,11",SNP,253151,0.9982421558674467,0.9982714991517193,0.9988123817665046,0.9977372419330116,0.998243548292733,0.9964409652883173,0.9997150540506847,0.9971529794318739,0.9984340167412793,0.9980753245940067,0.9990585161571928,112270,140448,401,32,0.9982895584058527,0.9984340167412793,0.9964409652883173,0.9997150540506847,0.9971529794318739,0.9980753245940067,0.9990585161571928
checkpoint,hybrid,hybrid,hybrid_groupwise_3c,hybrid_groupwise,test,hybrid_all_INDEL,view_variant_type,hybrid_all_INDEL,"1,10,11",INDEL,285427,0.9990470418005304,0.992577561059842,0.9888594236154282,0.9963705682119115,0.999042212238082,0.9962415033986404,0.9838111032140882,0.9998276898710974,0.9918193965425928,0.9899872854413306,0.9862723055241296,12458,272717,47,205,0.9991171122563738,0.9918193965425928,0.9962415033986404,0.9838111032140882,0.9998276898710974,0.9899872854413306,0.9862723055241296
checkpoint,hybrid,hybrid,hybrid_groupwise_3c,hybrid_groupwise,test,illumina_view_SNP,view_variant_type,illumina_view_SNP,"10,11",SNP,242328,0.998559803241887,0.9986195016892259,0.9990775788514422,0.9981671431785514,0.9985607885588701,0.9969793903536519,0.999946378780296,0.9974009445534838,0.9986736616668899,0.9984606804233706,0.9993515691845094,111890,130093,339,6,0.9985763097949886,0.9986736616668899,0.9969793903536519,0.999946378780296,0.9974009445534838,0.9984606804233706,0.9993515691845094
checkpoint,hybrid,hybrid,hybrid_groupwise_3c,hybrid_groupwise,test,illumina_view_INDEL,view_variant_type,illumina_view_INDEL,"10,11",INDEL,17677,0.9963794761554562,0.9964022609303469,0.9961388644727668,0.9966812629600982,0.9963808369651788,0.9968591447209469,0.999273431823686,0.9926275992438561,0.9959505155337711,0.9980648282530072,0.9987896393123147,12378,5251,39,9,0.9972846071165922,0.9959505155337711,0.9968591447209469,0.999273431823686,0.9926275992438561,0.9980648282530072,0.9987896393123147
checkpoint,hybrid,hybrid,hybrid_groupwise_3c,hybrid_groupwise,test,ont_view_SNP,view_variant_type,ont_view_SNP,"1,11",SNP,122685,0.9989648286261564,0.9978110056664521,0.997051108279511,0.998576170938113,0.9989637386025196,0.9992241148666726,0.9997501583817402,0.9918032786885245,0.9957767185351323,0.9994870674077632,0.9996449053733276,112043,10527,87,28,0.999062640094551,0.9957767185351323,0.9992241148666726,0.9997501583817402,0.9918032786885245,0.9994870674077632,0.9996449053733276
checkpoint,hybrid,hybrid,hybrid_groupwise_3c,hybrid_groupwise,test,ont_view_INDEL,view_variant_type,ont_view_INDEL,"1,11",INDEL,278374,0.9992312500449037,0.993451033792167,0.988334542495427,0.9987475009605463,0.999225165992472,0.9990532096193901,0.981581395348837,0.9999626341434251,0.9907720147461311,0.99024024023974,0.9850266980319888,10552,267614,10,198,0.9992528037819624,0.9907720147461311,0.9990532096193901,0.981581395348837,0.9999626341434251,0.99024024023974,0.9850266980319888
checkpoint,hybrid,hybrid,hybrid_groupwise_3c,hybrid_groupwise,test,group_1,group,group_1,1,ALL,278573,0.9989087241046333,0.8713059595662663,0.8487468920614799,0.909022268498073,0.9988157904065529,0.8679245283018852,0.6744868035190605,0.9997481026733503,0.8371174530962054,0.7590759075902657,0.7059545733577168,460,277821,70,222,0.9989518007847136,0.8371174530962054,0.8679245283018852,0.6744868035190605,0.9997481026733503,0.7590759075902657,0.7059545733577168
checkpoint,hybrid,hybrid,hybrid_groupwise_3c,hybrid_groupwise,test,group_10,group,group_10,10,ALL,137519,0.9972658323577106,0.9525336255880732,0.9905933975232543,0.9238093784983109,0.9974327837957812,0.8586956521739127,0.9948694029850742,0.9974072022160665,0.9961383026005703,0.9217804667237892,0.9642857142854963,2133,135024,351,11,0.9973676364720512,0.9961383026005703,0.8586956521739127,0.9948694029850742,0.9974072022160665,0.9217804667237892,0.9642857142854963
checkpoint,hybrid,hybrid,hybrid_groupwise_3c,hybrid_groupwise,test,group_11,group,group_11,11,ALL,122486,0.9996979246607776,0.9844910859621797,0.9740106368928619,0.9957195295459469,0.9996936125397683,0.9997789820074983,0.9999672504277913,0.9221902017291039,0.9610787260784477,0.9998731073547706,0.999929591071293,122135,320,27,4,0.9997469098509217,0.9610787260784477,0.9997789820074983,0.9999672504277913,0.9221902017291039,0.9998731073547706,0.999929591071293
checkpoint,hybrid,hybrid,hybrid_groupwise_3c,hybrid_groupwise,test,variant_SNP,variant_type,variant_SNP,ALL,SNP,253151,0.9982421558674467,0.9982714991517193,0.9988123817665046,0.9977372419330116,0.998243548292733,0.9964409652883173,0.9997150540506847,0.9971529794318739,0.9984340167412793,0.9980753245940067,0.9990585161571928,112270,140448,401,32,0.9982895584058527,0.9984340167412793,0.9964409652883173,0.9997150540506847,0.9971529794318739,0.9980753245940067,0.9990585161571928
checkpoint,hybrid,hybrid,hybrid_groupwise_3c,hybrid_groupwise,test,variant_INDEL,variant_type,variant_INDEL,ALL,INDEL,285427,0.9990470418005304,0.992577561059842,0.9888594236154282,0.9963705682119115,0.999042212238082,0.9962415033986404,0.9838111032140882,0.9998276898710974,0.9918193965425928,0.9899872854413306,0.9862723055241296,12458,272717,47,205,0.9991171122563738,0.9918193965425928,0.9962415033986404,0.9838111032140882,0.9998276898710974,0.9899872854413306,0.9862723055241296
